date_found,last_seen,id,reg_id,published,name,org,price,deadline,status,cpvs,label,attachment_count,pdf_count,excel_count,image_count,link
"2026-05-21","2026-08-15 17:24","687766","NAT260010626","21.05.2026","45100000-Site preparation work","Tbilisi Krtsanisi District Gamgeoba","158`706.00 GEL","10.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687766"
"2026-05-21","2026-08-15 17:24","687856","NAT260010642","21.05.2026","45100000-Site preparation work","Tbilisi Krtsanisi District Gamgeoba","229`607.00 GEL","09.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687856"
"2026-05-21","2026-08-15 17:24","687081","NAT260010671","21.05.2026","45100000-Site preparation work","AMBROLAURI MUNICIPALITY","17`113.00 GEL","01.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687081"
"2026-05-21","2026-08-15 17:24","687611","NAT260010685","21.05.2026","45100000-Site preparation work","MTSKHETA MUNICIPALITY CITY HALL","312`103.00 GEL","12.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687611"
"2026-05-22","2026-08-15 17:24","688278","688278","22.05.2026","45100000-Site preparation work","LTD ""Georgia Solid Wastes Management Company","9`000.00 GEL","03.06.2026","","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688278"
"2026-05-22","2026-08-15 17:24","687829","NAT260010754","22.05.2026","45100000-Site preparation work","MTSKHETA MUNICIPALITY CITY HALL","652`312.00 GEL","12.06.2026","Finalization of contract","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687829"
"2026-05-22","2026-08-15 17:24","684256","NAT260010793","22.05.2026","45100000-Site preparation work","Khelvachauri Municipal Inspection, Infrastructure and Improvement Divizion NNLE","34`976.00 GEL","03.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=684256"
"2026-05-22","2026-08-15 17:24","686292","NAT260010794","22.05.2026","45100000-Site preparation work","The national Museum of Georgia","35`000.00 GEL","08.06.2026","Cancelled","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686292"
"2026-05-22","2026-08-15 17:24","688027","NAT260010817","22.05.2026","45100000-Site preparation work","Self-governung Entity Tchiatura Municipality","280`475.00 GEL","02.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688027"
"2026-05-25","2026-08-15 17:24","687550","NAT260010908","25.05.2026","45100000-Site preparation work","zugdidi municipality city hall","176`444.00 GEL","05.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687550"
